latitude,longitude,scan,track,confidence,frp,daynight,Class,source
59.7456,-114.4803,3.5,1.8,100,740.5,0,0,1
58.3947,-119.4514,2.2,1.4,57,15.2,0,1,1
58.11338,-119.87189,0.54,0.51,66,3.58,0,0,0
58.3408,-118.5389,2.1,1.4,61,68.8,0,1,1
58.7313,-121.0142,2.8,1.6,29,47.6,0,0,1
58.45036,-118.32834,0.67,0.73,66,5.61,0,1,0
59.417,-121.4563,2.4,1.5,13,32.7,0,0,1
59.45088,-110.91224,0.51,0.41,66,17.7,1,1,0
58.58915,-120.98444,0.48,0.48,66,1.47,0,0,0
58.95552,-120.75134,0.66,0.73,66,5.05,0,1,0
58.3773,-104.1647,3.9,1.8,54,70.8,1,0,1
59.84082,-112.00005,0.42,0.61,66,16.72,1,0,0
59.5988,-115.6472,1.7,1.3,91,133.2,1,1,1
58.62342,-121.15382,0.47,0.48,66,4.35,0,0,0
58.45035,-118.00783,0.57,0.43,66,10.47,0,0,0
58.7355,-120.7953,2.4,1.5,100,220.2,0,1,1
58.55695,-118.04788,0.57,0.43,66,23.15,0,0,0
58.6832,-120.65852,0.56,0.69,66,4.89,0,1,0
58.12906,-119.7905,0.43,0.46,66,5.32,0,0,0
56.1062,-105.3005,1.0,1.0,0,4.1,1,0,1
58.322,-120.7328,1.9,1.3,8,11.1,0,0,1
58.25671,-120.7009,0.46,0.47,66,3.42,0,0,0
58.3911,-119.575,2.2,1.4,12,10.6,0,0,1
58.54607,-121.72823,0.51,0.49,66,4.42,0,0,0
58.7728,-120.7011,2.4,1.5,100,1697.0,0,1,1
58.2759,-118.5655,2.2,1.4,100,162.5,0,1,1
58.81818,-118.06485,0.58,0.52,66,30.01,0,0,0
59.50302,-114.21564,0.39,0.6,66,3.83,0,1,0
58.25606,-119.99139,0.39,0.36,66,0.67,0,1,0
61.134,-112.3875,1.4,1.2,100,91.5,0,1,1
61.1354,-121.0685,2.0,1.4,100,123.1,0,0,1
59.01102,-120.67208,0.55,0.68,66,5.18,0,1,0
59.3634,-121.42522,0.38,0.36,66,3.53,0,1,0
58.9365,-114.731,3.0,1.6,59,78.2,1,0,1
60.64268,-119.44946,0.59,0.7,66,4.25,0,1,0
58.1352,-119.6941,2.0,1.4,98,117.8,0,1,1
59.3011,-121.2598,1.9,1.3,73,29.2,0,0,1
58.41931,-118.5266,0.39,0.44,66,9.89,0,0,0
58.3586,-118.5802,2.3,1.5,100,74.2,0,0,1
59.71803,-115.31691,0.43,0.38,66,21.85,0,1,0
58.7233,-118.3391,2.4,1.5,65,61.4,0,0,1
58.53876,-118.05219,0.6,0.53,66,7.02,0,0,0
58.98009,-120.74989,0.47,0.48,66,4.88,0,0,0
53.012,-95.1103,1.9,1.3,38,11.8,1,0,1
61.5102,-111.3665,2.1,1.4,0,109.0,1,1,1
58.2635,-120.3008,2.6,1.6,98,100.3,0,1,1
58.31607,-120.53761,0.66,0.73,66,1.71,0,1,0
58.7941,-118.1403,2.1,1.4,100,331.8,0,1,1
61.1232,-121.0658,2.0,1.4,100,58.8,0,0,1
58.7984,-117.9911,2.1,1.4,100,71.6,0,0,1
58.62144,-118.17409,0.38,0.43,66,3.82,0,0,0
58.29051,-120.67708,0.66,0.73,66,5.58,0,1,0
58.81067,-120.04522,0.5,0.49,66,1.75,0,0,0
59.66758,-114.44903,0.45,0.39,66,6.64,0,1,0
58.63879,-118.0384,0.57,0.43,66,26.51,0,0,0
59.006,-109.68555,0.51,0.66,66,9.25,1,0,0
58.26965,-119.66827,0.43,0.46,66,1.94,0,0,0
58.15272,-119.82209,0.43,0.46,66,3.55,0,0,0
58.757,-117.956,2.5,1.5,90,92.7,0,0,1
58.7357,-120.2472,2.3,1.5,35,19.5,0,0,1
59.7295,-112.1472,1.9,1.3,41,8.4,1,0,1
58.6482,-117.9414,2.5,1.5,100,72.7,0,0,1
58.2681,-120.6774,2.5,1.5,49,49.9,0,1,1
59.66082,-115.82799,0.5,0.41,66,2.97,0,0,0
58.546,-118.5055,2.0,1.4,100,59.2,0,0,1
58.5501,-119.7406,2.2,1.4,69,24.3,0,1,1
58.6062,-118.1499,1.9,1.4,100,431.4,0,1,1
58.8431,-120.4468,2.0,1.4,86,42.4,0,0,1
54.77481,-123.92072,0.67,0.74,66,5.69,0,1,0
59.7036,-114.4653,1.6,1.2,92,31.8,0,1,1
58.5505,-121.8398,2.7,1.6,86,45.3,0,0,1
57.74965,-114.76959,0.45,0.39,66,1.42,0,0,0
59.7054,-114.3453,3.6,1.8,100,369.4,0,1,1
59.4297,-115.4062,3.0,1.6,59,27.3,1,0,1
58.53243,-118.13809,0.4,0.37,66,6.47,0,1,0
58.77296,-120.81499,0.38,0.36,66,8.18,0,1,0
59.5541,-111.607,2.0,1.4,100,518.6,1,1,1
58.7554,-120.8252,1.9,1.3,99,127.6,0,1,1
58.38182,-119.92311,0.61,0.71,66,3.19,0,1,0
58.5682,-118.5026,2.4,1.5,82,48.5,0,0,1
58.69212,-118.14988,0.58,0.52,66,7.05,0,0,0
58.09598,-113.41031,0.52,0.41,66,171.38,1,0,0
